x,y,z
24.112500000000001,1.3320000000000001,34.988999999999997
21.720800000000001,0.033500000000000002,36.292299999999997
19.789100000000001,1.9924999999999999,35.747399999999999
18.2818,1.6869000000000001,36.1858
17.629100000000001,-1.2758,32.927799999999998
20.477399999999999,-0.39660000000000001,32.247700000000002
19.648,1.851,30.570900000000002
21.231999999999999,-0.5645,29.5871
23.506799999999998,0.37969999999999998,29.3337
23.0059,-1.1594,31.417899999999999
24.9573,1.9710000000000001,31.300899999999999
25.586099999999998,4.0114000000000001,30.759599999999999
23.813400000000001,5.5826000000000002,28.8017
22.795300000000001,7.5735999999999999,31.379999999999999
23.7773,9.5031999999999996,30.111499999999999
24.973099999999999,8.7995999999999999,31.252300000000002
25.2484,-0.86299999999999999,35.202599999999997
25.026399999999999,0.54059999999999997,37.241300000000003
25.083600000000001,-1.2149000000000001,37.6173
23.5166,-0.33779999999999999,37.660499999999999
23.378299999999999,-2.2675999999999998,34.473700000000001
22.553899999999999,-1.9782,36.043199999999999
24.120899999999999,-2.8553000000000002,36.000100000000003
20.9861,4.0593000000000004,37.682099999999998
20.773800000000001,4.4119999999999999,35.933599999999998
18.9542,3.5796000000000001,39.0884
16.5823,4.1921999999999997,39.468200000000003
14.5054,5.1440000000000001,38.618400000000001
16.310500000000001,5.5747,35.419400000000003
18.665700000000001,4.9595000000000002,35.049999999999997
22.162600000000001,2.2502,38.384900000000002
21.746099999999998,0.57750000000000001,38.8902
20.8996,1.9770000000000001,39.6327
16.833500000000001,-0.65469999999999995,37.665300000000002
16.573799999999999,1.0745,38.076700000000002
15.568099999999999,-0.42520000000000002,35.683
14.4869,-0.7631,37.9358
13.4253,0.158,36.817100000000003
14.333500000000001,1.0185,38.106000000000002
16.228999999999999,1.8012999999999999,34.996099999999998
15.3508,2.5087999999999999,36.394199999999998
14.442600000000001,1.6483000000000001,35.1053
19.116099999999999,-3.0945999999999998,33.1721
20.362300000000001,-2.0857000000000001,33.981999999999999
17.627500000000001,-2.7719,35.125599999999999
19.1755,-3.5779999999999998,35.550600000000003
18.5548,-1.7674000000000001,37.2804
20.8049,-0.75539999999999996,37.1858
19.258800000000001,-0.031600000000000003,28.199300000000001
17.930299999999999,1.02,28.796199999999999
19.200099999999999,3.0061,28.372399999999999
20.694900000000001,2.0602999999999998,28.060199999999998
19.8353,1.2494000000000001,25.988199999999999
18.210799999999999,1.9375,26.3261
20.280100000000001,3.9927999999999999,26.625399999999999
18.4846,2.0144000000000002,24.117799999999999
18.5839,3.4026000000000001,22.816700000000001
20.436699999999998,5.6257999999999999,25.026
19.646899999999999,5.3689999999999998,23.311299999999999
24.965900000000001,-1.4842,29.8551
25.368500000000001,-1.8958999999999999,31.5566
25.917899999999999,-0.33579999999999999,30.856000000000002
26.651800000000001,3.0190999999999999,28.686599999999999
25.628299999999999,4.1013000000000002,27.682700000000001
26.744800000000001,6.0407999999999999,28.9222
27.6206,4.6539000000000001,30.783100000000001
28.9268,5.5336999999999996,29.9192
28.674399999999999,3.7806000000000002,29.619700000000002
27.219999999999999,5.4276999999999997,26.5915
28.440799999999999,4.2356999999999996,27.153099999999998
28.693200000000001,5.9888000000000003,27.4526
21.982700000000001,6.3700000000000001,29.322700000000001
26.667899999999999,8.6190999999999995,26.959499999999998
